"Identifiant 
RATP";Ligne;Station ou Gare;Longitude;Latitude;id IDM de l'accès le plus proche;Adresse;Code postal;Commune;Numéro de l'accès à la station le plus proche ;"Nom de l'accès à la station le plus proche 
";En zone contrôlée ou non;Point_geographique
24.0;11;Métro Hôtel de Ville;2.351581400000000;48.857294799999998;50148847.0;70 Rue de Rivoli;75004;Paris;1.0;r. de Rivoli;;48.8572948, 2.3515814
35.0;4;Métro Gare de l'Est;2.358090600000000;48.876127500000003;50147774.0;Gare de l'Est  Boulevard de Strasbourg;75010;Paris;7.0;Terre-plein;;48.8761275, 2.3580906
43.0;8;Métro Maisons-Alfort-Les Juilliottes;2.445950000000000;48.802722099999997;50148225.0;277 Avenue du Général Leclerc;94700;Maison-Alfort;4.0;av. du Maréchal de Lattre de Tassigny;;48.8027221, 2.44595
48.0;10;Métro Boulogne-Pont de Saint-Cloud;2.229011000000000;48.840904399999999;50148386.0;Avenue Jean-Baptiste Clément / Rond Point Rhin et Danub;92100;Boulogne;2.0;av. Jean-Baptiste Clément;;48.8409044, 2.229011
52.0;12;Métro Convention;2.296229500000000;48.837498900000000;50210155.0;Place Geneviève de Gaulle Anthonioz;75015;Paris;1.0;r. de la Convention;;48.8374989, 2.2962295
58.0;13;Métro Carrefour Pleyel;2.343221000000000;48.919628699999997;50148731.0;11 Place des Pianos;93200;Saint-Denis;2.0;Cap Ampère;;48.9196287, 2.343221
59.0;13;Métro Saint-Denis Porte de Paris;2.356240000000000;48.929883599999997;50148510.0;Rue Danièle Casanova;93200;Saint-Denis;2.0;r. Danielle Casanova;en zone contrôlée;48.9298836, 2.35624
62.0;3;Péreire;2.2981799;48.8847458;103073.0;Angle Place du Maréchal Juin/Rue de Courcelles;75017;Paris;;;;48.8847458, 2.2981799
64.0;4;Château Rouge;2.3497528;48.8872989;104035.0;Angle Boulevard Barbès/ Rue Poulet;75018;Paris;;;;48.8872989, 2.3497528
70.0;9;Charonne;2.3855600;48.8545906;109077.0;Angle Boulevard Voltaire/Rue de Charonne;75012;Paris;;;;48.8545906, 2.38556
73.0;11;Arts et Métiers;2.3565996;48.8654039;111051.0;Terre Plein Turbigo/Réaumur;75003;Paris;;;;48.8654039, 2.3565996
10.0;4;Métro Châtelet;2.347592300000000;48.857632799999998;50147797.0;Place du Châtelet;75001;Paris;16.0;pl. du Châtelet;;48.8576328, 2.3475923
15.0;5;Métro Bastille;2.369746600000000;48.852041900000003;50148660.0;146 Rue de Lyon;75012;Paris;4.0;r. de Lyon;;48.8520419, 2.3697466
25.0;11;Métro République;2.363616500000000;48.867014500000003;50148721.0;13 Place de La République;75003;Paris;2.0;r. du Temple;;48.8670145, 2.3636165
26.0;14;Métro Bercy;2.379817400000000;48.840226800000003;50148041.0;Place du Bataillon du Pacifique;75012;Paris;2.0;boulevard de Bercy;;48.8402268, 2.3798174
30.0;A;RER Vincennes;2.434033100000000;48.847227400000001;50148839.0;5 Avenue Aubert;94300;Vincennes;1.0;Centre-ville;;48.8472274, 2.4340331
33.0;2;Métro Place de Clichy;2.327215300000000;48.883817299999997;50147934.0;Place de Clichy / Rue Biot;75017;Paris;;Entrée / Sortie;;48.8838173, 2.3272153
34.0;3;Métro Galliéni;2.416495000000000;48.865178000000000;50147902.0;"36 Rue des Champeaux / Avenue du Général de Gaulle - Centre Commercial ""Bel Est""";93170;Bagnolet;;Entrée / Sortie;;48.865178, 2.416495
37.0;7;Métro Crimée;2.377684000000000;48.891224899999997;50148082.0;104 Avenue De Flandre;75019;Paris;2.0;Caisse Nationale d'Assurance Vieillesse;;48.8912249, 2.377684
42.0;8;Métro Ecole Vétérinaire de Maisons-Alfort;2.422335400000000;48.814684000000000;50210115.0;École Nationale Vétérinaire d'Alfort  Allée des Cavaliers;94700;Maison-Alfort;3.0;av. Général Leclerc;;48.814684, 2.4223354
50.0;10;Métro Duroc;2.316469600000000;48.846983000000002;50148365.0;56 Boulevard des Invalides;75007;Paris;1.0;bd des Invalides;;48.846983, 2.3164696
54.0;12;Métro Mairie d'Issy;2.273061800000000;48.824299500000002;50148422.0;63 Rue du Général Leclerc / Avenue de La République;92130;Issy-Les-Moulineaux;;Entrée / Sortie;;48.8242995, 2.2730618
55.0;12;Métro Pigalle;2.337455700000000;48.882425099999999;50148459.0;22 Boulevard de Clichy;75018;Paris;;Entrée / Sortie;en zone contrôlée;48.8824251, 2.3374557
61.0;A;RER Marne-la-Vallée - Chessy;2.782085521694469;48.87008937465786;50148801.0;Esplanade François Truffaut / Boulevard du Parc;77700;Chessy;1.0;Entrée / Sortie;;48.87008937465786, 2.782085521694469
63.0;3;Pont de Levallois-Bécon;2.2797803;48.8978073;103081.0;Rue Anatole France;92300;Levallois-Perret;;;;48.8978073, 2.2797803
65.0;4;Porte d'Orléans;2.3258905;48.8228182;104079.0;Angle Jourdan/ Place  25 Août;75014;Paris;;;;48.8228182, 2.3258905
66.0;7;Louis Blanc;2.3650284;48.8813901;107041.0;Angle Rue Lafayette/Rue du Faubourg Saint Martin;75010;Paris;;;;48.8813901, 2.3650284
69.0;8;Boucicaut;2.2876261;48.8410393;108023.0;Angle Faure/Convention;75015;Paris;;;;48.8410393, 2.2876261
72.0;9;Marcel Sembat;2.2442114;48.8339275;109025.0;Boulevard de la République;92000;Boulogne Billancourt;;;;48.8339275, 2.2442114
74.0;13;Les Agnettes;2.2857509;48.9231026;113077.0;85 rue Robert Dupont;92600;Asnières sur Seine;;;en zone contrôlée;48.9231026, 2.2857509
80.0;14;Gare de Lyon SA231;2.3727068;48.8440863;118053.0;201 Rue de Bercy;75012;Paris;;;;48.8440863, 2.3727068
1.0;1;Métro Champs-Elysées-Clémenceau;2.313305100000000;48.867236400000003;50147971.0;1 Avenue du Général Eisenhower;75008;Paris;1.0;pl. Clemenceau;;48.8672364, 2.3133051
2.0;1;Métro Esplanade de la Défense;2.249559200000000;48.888164600000003;50147942.0;21 Voie des Bâtisseurs;92800;Puteaux;1.0;Courbevoie;en zone contrôlée;48.8881646, 2.2495592
3.0;1;Métro Les sablons;2.271377000000000;48.881363299999997;50208149.0;68 Avenue Ch. De Gaulle;92200;Neuilly-sur-Seine;1.0;r. Louis-Philippe;;48.8813633, 2.271377
7.0;1;Métro Reuilly-Diderot;2.386394200000000;48.847320000000003;50148202.0;75 Boulevard Diderot;75012;Paris;3.0;r. de Reuilly;;48.84732, 2.3863942
13.0;4;Métro Mairie de Montrouge;2.319687300000000;48.818401600000001;50148739.0;1b Avenue de La République;92120;Montrouge;2.0;av. de la République;;48.8184016, 2.3196873
20.0;9;Métro Bonne Nouvelle;2.347419900000000;48.870736899999997;50148182.0;5 Boulevard Poissonnière;75002;Paris;1.0;r. du Sentier;;48.8707369, 2.3474199
27.0;A;RER Auber;2.330597300000000;48.871634600000000;50148104.0;Rue Scribe/ Rue Auber;75009;Paris;3.0;r. Scribe;;48.8716346, 2.3305973
31.0;1;Métro Charles de Gaulle-Etoile;2.295914400000000;48.874369299999998;50148764.0;Place Charles de Gaulle / Avenue Hoche;75008;Paris;3.0;av. Hoche;en zone contrôlée;48.8743693, 2.2959144
32.0;1;Métro Saint-Mandé-Tourelle;2.417314600000000;48.846569500000001;50148008.0;178 Avenue Gallieni;94160;Saint-Mandé;1.0;av. Joffre;;48.8465695, 2.4173146
38.0;7;Métro Fort d'Aubervilliers;2.404308500000000;48.914498100000003;50148067.0;avenue de la Division Leclerc;93300;Aubervilliers;3.0;av. de la Division Leclerc;;48.9144981, 2.4043085
40.0;7;Métro Villejuif-Léo Lagrange;2.363850000000000;48.804564300000003;50210093.0;Rue René Thibert;94800;Villejuif;1.0;r. René Thibert;;48.8045643, 2.36385
41.0;8;Métro Daumesnil;2.395854800000000;48.839247299999997;50148045.0;105 Rue Claude Decaen;75012;Paris;2.0;r. Claude Decaen;;48.8392473, 2.3958548
44.0;9;Métro Porte de Montreuil;2.411324100000000;48.853740500000001;50148336.0;1 Avenue de la Porte de Montreuil;75020;Paris;1.0;av. de la Porte de Montreuil;;48.8537405, 2.4113241
67.0;7;Mairie d'ivry;2.3838050;48.8110565;107091.0;Angle Marat/Robespierre;94000;Ivry;;;en zone contrôlée;48.8110565, 2.383805
68.0;7;Porte d'Italie;2.3597851;48.8191931;107083.0;Angle Boulevard Massena/Avenue d'Italie;75013;Paris;;;;48.8191931, 2.3597851
75.0;13;Plaisance;2.3141914;48.8317823;114041.0;207, Rue d'Alésia;75014;Paris;;;;48.8317823, 2.3141914
